Bike Name,Price,Model Year,Mileage,City
Road King Eagle-i  2025 ,PKR 2.35 lacs,2025,1 km,Islamabad
Road King Eagle-i  2025 ,PKR 2.35 lacs,2025,1 km,Islamabad
Yamaha YZF-R1  2022 ,Call,2022,"4,041 km",Lahore
Yamaha YZF-R1  2012 ,PKR 17 lacs,2012,"25,000 km",Lahore
Honda CD 70 Dream  2023 ,PKR 1.39 lacs,2023,"16,097 km",Faisalabad
Ducati Other  2016 ,PKR 49.9 lacs,2016,"9,000 km",Bahawalpur
Suzuki GD 110S  2024 ,PKR 3.2 lacs,2024,"8,500 km",Lahore
Honda CD 70  2016 ,"PKR 75,000",2016,"20,000 km",Multan
Yamaha YB 125Z-DX  2022 ,PKR 3.65 lacs,2022,"6,000 km",Quetta
Super Star 125cc  2015 ,"PKR 60,000",2015,"5,000 km",Karachi
Honda CG 125  2023 ,PKR 2.1 lacs,2023,"8,000 km",Attock
Union Star US 70cc  2025 ,PKR 1.2 lacs,2025,"6,000 km",Karachi
Suzuki GR 150  2018 ,PKR 2.65 lacs,2018,"20,000 km",Karachi
Honda CG 125 Special Edition  2023 ,PKR 2.29 lacs,2023,"5,000 km",Multan
Honda CG 125  2020 ,PKR 1.44 lacs,2020,1 km,Karachi
Safari SD 70  2013 ,"PKR 30,000",2013,"50,000 km",Taxila
Unique Xtreme UD 70  2017 ,"PKR 37,500",2017,"50,000 km",Karachi
Honda CG 125 Special Edition  2025 ,PKR 2.93 lacs,2025,"1,800 km",Karachi
Honda CG 125  2015 ,PKR 1.35 lacs,2015,"30,000 km",Rawalpindi
Honda CG 125  2022 ,PKR 1.85 lacs,2022,"5,000 km",Karachi
Super Power Leo 200  2018 ,PKR 2.5 lacs,2018,"41,000 km",Rawalpindi
Jolta Electric JE-70D  2021 ,"PKR 65,000",2021,"2,580 km",Swabi
United US Scooty 100  2020 ,PKR 1.6 lacs,2020,"3,100 km",Lahore
Honda CD 70  2017 ,"PKR 90,000",2017,"11,000 km",Islamabad
Honda CG 125  2024 ,PKR 2.1 lacs,2024,"3,400 km",Lahore
Honda CD 70  2022 ,PKR 1.14 lacs,2022,"40,000 km",Lahore
Honda Pridor  2011 ,"PKR 85,000",2011,"40,000 km",Peshawar
Yamaha YBR 125  2019 ,PKR 3.05 lacs,2019,"22,500 km",Karachi
Honda CG 125  2002 ,"PKR 90,000",2002,"20,000 km",Lahore
Super Star CD 70  2019 ,"PKR 60,000",2019,"25,000 km",Karachi
Honda CG 125  2019 ,PKR 1.1 lacs,2019,"38,000 km",Dunia Pur
Honda CG 125  2025 ,PKR 2.75 lacs,2025,450 km,Faisalabad
