Bike Name,Price,Model Year,Mileage,City
Suzuki GS 150  2020 ,PKR 3.5 lacs,2020,"42,000 km",Islamabad
Honda CG 125  2015 ,PKR 1.3 lacs,2015,"20,528 km",Rawalpindi
Metro MR 70  2022 ,"PKR 40,000",2022,"30,000 km",Sheikhupura
Honda CD 70  2021 ,"PKR 50,000",2021,"4,238 km",Lahore
Honda CD 70  2019 ,"PKR 76,000",2019,"50,000 km",Kabirwala
Honda CG 125  2021 ,PKR 1.55 lacs,2021,"29,392 km",Islamabad
Super Asia SA 70  2022 ,"PKR 72,000",2022,"5,000 km",Attock
Unique Xtreme UD 70  2021 ,"PKR 68,000",2021,"12,000 km",Karachi
Honda CG 125  2021 ,PKR 1.35 lacs,2021,"20,000 km",Lahore
Unique Xtreme UD 70  2021 ,"PKR 67,000",2021,999 km,Haripur
Honda CG 125  2025 ,PKR 2.22 lacs,2025,"7,500 km",Faisalabad
Honda CD 70  2021 ,PKR 1 lacs,2021,"20,000 km",Toba Tek Singh
Honda CG 125  2012 ,"PKR 77,000",2012,"40,000 km",Karachi
Honda Pridor  2015 ,PKR 1 lacs,2015,"89,000 km",Rahim Yar Khan
Honda CG 125  2012 ,PKR 1.1 lacs,2012,"60,000 km",Yazman mandi
United US Scooty 100  2015 ,"PKR 60,000",2015,123 km,Rawalpindi
Honda CG 125  2016 ,PKR 1.2 lacs,2016,"28,000 km",Islamabad
Suzuki GS 150  2018 ,PKR 2.5 lacs,2018,"26,000 km",Islamabad
Honda CB 150F  2024 ,PKR 4.6 lacs,2024,"10,000 km",Sargodha
Suzuki GD 110S  2023 ,PKR 3.2 lacs,2023,"30,000 km",Karachi
Union Star US 70cc  2023 ,"PKR 75,000",2023,"50,000 km",Karachi
United US 70  2025 ,"PKR 87,000",2025,1 km,Karachi
Honda CG 125  2024 ,PKR 2.08 lacs,2024,"9,100 km",Karachi
Road Prince Other  2023 ,"PKR 60,000",2023,"25,000 km",Lahore
Honda CD 70  2017 ,"PKR 58,000",2017,"1,000 km",Hujra Shah Mukeem
Hero RF 70  2014 ,"PKR 70,000",2014,"115,000 km",Rawalpindi
Yamaha YBR 125G  2023 ,PKR 4.2 lacs,2023,"2,700 km",Islamabad
Honda Pridor  2023 ,PKR 1.8 lacs,2023,"25,000 km",Sahiwal
Honda CG 125  2019 ,"PKR 95,000",2019,"10,000 km",Hyderabad
Road Prince 70 Passion Plus  2025 ,"PKR 98,000",2025,"3,300 km",Lahore
Honda CG 125  2024 ,PKR 2.15 lacs,2024,"9,100 km",Jhelum
Honda CD 70  2008 ,"PKR 45,000",2008,"50,000 km",Lahore
Super Star CD 70  2018 ,"PKR 36,500",2018,"1,000 km",Karachi
Yamaha YBR 125G  2017 ,PKR 2.29 lacs,2017,"25,000 km",Mansehra
Honda CG 125  2025 ,PKR 2.28 lacs,2025,"1,500 km",Wazirabad
Honda CG 125  2025 ,PKR 2.9 lacs,2025,"2,800 km",Islamabad
Honda CG 125  2022 ,PKR 1.49 lacs,2022,"5,000 km",Okara
Honda CD 70  2024 ,PKR 1.42 lacs,2024,"17,000 km",Faisalabad
Honda CD 70  2009 ,"PKR 45,000",2009,"10,000 km",Karachi
Honda CG 125  2017 ,PKR 1.25 lacs,2017,"180,000 km",Lahore
Unique Xtreme UD 70  2019 ,"PKR 70,000",2019,"5,000 km",Karachi
Honda CG 125  2021 ,PKR 1.6 lacs,2021,"40,000 km",Lahore
Honda CD 70  2015 ,PKR 1.5 lacs,2015,"1,005 km",Chiniot
Honda CG 125  2024 ,PKR 2.1 lacs,2024,"10,000 km",Sohawa
Honda CG 125  2023 ,PKR 2.35 lacs,2023,"12,999 km",Lahore
Honda CD 70  2018 ,"PKR 81,000",2018,"52,000 km",Lahore
Crown CR 70 HD Plus  2020 ,"PKR 70,000",2020,"8,828 km",Rawalpindi
Road Prince Other  2015 ,"PKR 31,500",2015,"50,000 km",Faisalabad
Honda CG 125  2025 ,PKR 2.15 lacs,2025,"4,000 km",Gujranwala
Honda CG 125 Special Edition  2024 ,PKR 2.72 lacs,2024,"10,000 km",Lahore
Derbi Aprilla  2018 ,PKR 4.4 lacs,2018,"7,800 km",Multan
Union Star US 70cc  2021 ,"PKR 70,000",2021,"5,000 km",Islamabad
Honda CG 125  2025 ,PKR 2.29 lacs,2025,900 km,Lahore
Honda CD 70  2012 ,"PKR 85,000",2012,"25,000 km",Lahore
Honda CG 125  2024 ,PKR 2 lacs,2024,"10,000 km",Sialkot
Unique UD 70  2020 ,"PKR 52,000",2020,120 km,Karachi
Honda CG 125  2024 ,PKR 2.19 lacs,2024,"5,000 km",Lahore
Honda CD-100  2022 ,PKR 1.4 lacs,2022,"10,000 km",Faisalabad
Crown CR 125 Self Start Alloy Rim  2023 ,PKR 2.6 lacs,2023,60 km,Gujrat
ZXMCO Monster ZX 250-D  2018 ,PKR 11 lacs,2018,"14,288 km",Peshawar
Suzuki GS 150  2021 ,PKR 3.5 lacs,2021,"14,000 km",Karachi
Honda CD 70  2008 ,"PKR 48,000",2008,"5,000 km",Lahore
Honda CG 125  2022 ,PKR 1.62 lacs,2022,"5,000 km",Lahore
Honda CD 70  2023 ,PKR 1.45 lacs,2023,"3,000 km",Hazro
Honda CD 70  2017 ,"PKR 80,000",2017,"12,000 km",Lahore
NPTC ATV  2015 ,"PKR 75,000",2015,200 km,Rawalpindi
Yamaha YBR 125  2020 ,PKR 2.38 lacs,2020,"28,000 km",Rawalpindi
Honda CD 70  2024 ,PKR 1.5 lacs,2024,"11,000 km",Faisalabad
Honda CD 70  2017 ,"PKR 72,000",2017,1 km,Lahore
Honda CB 150F  2025 ,PKR 4.55 lacs,2025,"6,150 km",Lahore
Honda CG 125  2021 ,PKR 1.45 lacs,2021,"1,000 km",Gojra
Honda CG 125 Deluxe  2025 ,PKR 3.65 lacs,2025,"4,000 km",Abbottabad
Bionic 70 cc  2016 ,"PKR 47,000",2016,"50,000 km",Karachi
Honda CD 70  2015 ,"PKR 75,000",2015,200 km,Rawalpindi
Honda CG 125  2023 ,PKR 1.95 lacs,2023,"17,600 km",Karachi
Honda CD 70  2024 ,"PKR 90,000",2024,"123,456 km",Karachi
Honda CG 125  2025 ,PKR 2.15 lacs,2025,"1,000 km",Sargodha
Unique Xtreme UD 70  2016 ,"PKR 47,000",2016,"2,500 km",Karachi
Unique Xtreme UD 70  2009 ,"PKR 47,000",2009,"50,000 km",Karachi
Honda CD 70  2020 ,"PKR 95,000",2020,"10,000 km",Charsadda
Honda CG 125  2018 ,PKR 1.35 lacs,2018,"123,456 km",Lahore
Pakzon Electric PE-100L  2025 ,PKR 1.55 lacs,2025,"40,000 km",Gojra
Road Prince 70 Passion Plus  2025 ,PKR 1.14 lacs,2025,2 km,Karachi
Suzuki GD 110S  2022 ,PKR 2.6 lacs,2022,"4,700 km",Lahore
Honda CD 70  2025 ,PKR 1.6 lacs,2025,"1,000 km",Lahore
Honda Pridor  2017 ,PKR 1.2 lacs,2017,"129,000 km",Mian Channu
Honda CD 70  2018 ,"PKR 57,000",2018,"28,000 km",Sahiwal
Super Power SP 70  2017 ,"PKR 45,000",2017,"5,000 km",Karachi
Honda CG 125  2019 ,PKR 1.4 lacs,2019,"21,001 km",Karak
Habib HB 70  2013 ,"PKR 45,000",2013,"5,000 km",Karachi
Union Star US 70cc  2025 ,PKR 1.1 lacs,2025,"9,000 km",Rawalpindi
Union Star US 70cc  2025 ,PKR 1.1 lacs,2025,"2,000 km",Rawalpindi
Yamaha YBR 125  2021 ,PKR 2.9 lacs,2021,"9,000 km",Karachi
Suzuki GS 150  2021 ,PKR 2.95 lacs,2021,"37,736 km",Rahim Yar Khan
Honda CG 125  2017 ,PKR 1.32 lacs,2017,"5,000 km",Sargodha
Honda CD 70  2024 ,PKR 1.45 lacs,2024,"10,263 km",Haripur
ZXMCO ZX 70 City Rider  2020 ,"PKR 48,000",2020,"50,000 km",Peshawar
Honda CG 125  2024 ,PKR 1.99 lacs,2024,"12,000 km",Lahore
Suzuki GD 110S  2021 ,PKR 2.7 lacs,2021,"21,000 km",Karachi
Unique Xtreme UD 70  2016 ,"PKR 45,000",2016,"100,000 km",Karachi
Honda CD 70  2018 ,"PKR 18,000",2018,"158,408 km",Kunjah
United US 70  2018 ,"PKR 36,500",2018,"25,089 km",Islamabad
Honda CG 125  2022 ,PKR 1.6 lacs,2022,"14,000 km",Lahore
Honda Pridor  2023 ,PKR 1.75 lacs,2023,"23,000 km",Multan
KTM 450 SX F  2023 ,PKR 26.2 lacs,2023,"1,400 km",Islamabad
Honda CG 125  2023 ,PKR 2.35 lacs,2023,"11,000 km",Lahore
Honda CD 70  2010 ,"PKR 58,000",2010,"5,000 km",Gujranwala
Honda CD 70  1982 ,"PKR 50,000",1982,"1,000 km",Karachi
Honda CG 125  2022 ,PKR 2.2 lacs,2022,"45,000 km",Okara
Yamaha YBR 125G  2021 ,PKR 3.3 lacs,2021,"18,000 km",Karachi
Honda CG 125  2019 ,PKR 1.75 lacs,2019,"15,500 km",Islamabad
Honda CG 125  2000 ,PKR 1 lacs,2000,"20,000 km",Lahore
Honda CD 70  2024 ,PKR 1.25 lacs,2024,"62,000 km",Sukkur
Honda CG 125  2025 ,PKR 2 lacs,2025,"10,000 km",Faisalabad
Honda CD 70  2010 ,"PKR 89,000",2010,"1,234 km",Sargodha
Honda CG 125  2022 ,PKR 1.7 lacs,2022,"13,000 km",Gujrat
Honda CG 125  2024 ,PKR 1.9 lacs,2024,"17,000 km",Gujrat
Yamaha YB 125Z   2018 ,PKR 2.15 lacs,2018,"55,000 km",Gujrat
Benelli Cafe Racer 1130  2013 ,"PKR 36,500",2013,"31,384 km",Karachi
Honda CD 70  2021 ,PKR 1.1 lacs,2021,"20,000 km",Lahore
Honda CD 70  2006 ,"PKR 45,000",2006,"100,000 km",Multan
Honda CD 70  2025 ,PKR 1.58 lacs,2025,5 km,Islamabad
Honda CD 70 Dream  2019 ,"PKR 97,000",2019,"7,700 km",Kamoke
Suzuki GD 110S  2022 ,PKR 2.7 lacs,2022,"20,000 km",Faisalabad
Honda CD 70  2006 ,"PKR 50,000",2006,"200,000 km",Sahiwal
Super Star CD 70  2020 ,"PKR 64,000",2020,"65,356 km",Karachi
Aprilia RS 50  2015 ,PKR 2.2 lacs,2015,"4,500 km",Peshawar
Road Prince 70 Passion Plus  2019 ,"PKR 29,000",2019,"123,456 km",Lahore
Honda CG 125  2023 ,PKR 1.85 lacs,2023,"18,000 km",Gujrat
Honda CD 70  2008 ,"PKR 45,000",2008,"37,517 km",Jhelum
Honda CG 125  2020 ,PKR 2 lacs,2020,"30,000 km",Islamabad
Honda Pridor  2022 ,PKR 1.55 lacs,2022,"28,000 km",Faisalabad
Honda CD 70  2013 ,"PKR 70,000",2013,"50,000 km",Multan
Benelli Other  2023 ,PKR 30 lacs,2023,"2,000 km",Karachi
Ghani Gi 70  2014 ,"PKR 48,999",2014,"11,000 km",Islamabad
Honda CG 125  2024 ,PKR 1.95 lacs,2024,"15,000 km",Taxila
Honda CG 125  2022 ,PKR 1.9 lacs,2022,"30,000 km",Rawalpindi
Evee S1  2025 ,PKR 2.1 lacs,2025,1 km,Karachi
Yamaha YBR 125G  2025 ,PKR 4.85 lacs,2025,1 km,Karachi
Union Star US 70cc  2024 ,"PKR 90,000",2024,"10,000 km",Rawalpindi
Honda CG 125  2018 ,PKR 1.6 lacs,2018,"50,000 km",Rawalpindi
United US 70  2025 ,"PKR 90,000",2025,"7,200 km",Faisalabad
Ravi Piaggio Storm 125  2012 ,"PKR 80,000",2012,"40,000 km",Mian Wali
Honda CG 125  2022 ,PKR 1.55 lacs,2022,"33,000 km",Karachi
Honda CG 125  2021 ,PKR 1.3 lacs,2021,"40,000 km",Karachi
Honda Pridor  2020 ,PKR 1.25 lacs,2020,"199,999 km",Karachi
Honda Pridor  2020 ,PKR 1.25 lacs,2020,"199,999 km",Karachi
Honda CG 125  2010 ,PKR 1.7 lacs,2010,"20,000 km",Karachi
United US 70  2019 ,"PKR 62,000",2019,"20,000 km",Peshawar
Honda CG 125  2006 ,PKR 1.5 lacs,2006,1 km,Lahore
Crown RF 70  2013 ,"PKR 25,000",2013,"12,345 km",Lahore
Suzuki GSX 125  2022 ,PKR 3.65 lacs,2022,"10,500 km",Gujrat
Honda CD 70  2020 ,PKR 1.2 lacs,2020,"20,000 km",Rawalpindi
Honda CG 125  2021 ,PKR 1.5 lacs,2021,"3,968 km",Rawalpindi
Super Power SP 70  2022 ,"PKR 72,000",2022,"20,000 km",Karachi
Honda CG 125  2021 ,PKR 1.65 lacs,2021,"7,000 km",Hyderabad
Honda CD 70  1980 ,"PKR 42,000",1980,500 km,Karachi
Honda CG 125  2019 ,PKR 1.58 lacs,2019,"33,000 km",Islamabad
Crown CRLF 70  2018 ,"PKR 41,000",2018,"50,000 km",Karachi
Honda CD 70  2000 ,"PKR 40,000",2000,"5,000 km",Lahore
Suzuki GD 110S  2021 ,PKR 2.5 lacs,2021,"31,000 km",Multan
Honda CB 125F  2025 ,PKR 3.7 lacs,2025,"4,000 km",Lahore
United US 70  2018 ,"PKR 65,000",2018,"10,000 km",Faisalabad
Yamaha  PW50  2023 ,"PKR 75,000",2023,"5,000 km",Rawalpindi
Jolta Electric Storm  2023 ,PKR 1.35 lacs,2023,"2,229 km",Lahore
Honda Pridor  2021 ,PKR 1.34 lacs,2021,"10,000 km",Karachi
Honda CD 70  2021 ,PKR 1.3 lacs,2021,"50,000 km",Rawalpindi
Crown CRLF 70  2013 ,"PKR 45,000",2013,"10,000 km",Rawalpindi
Honda CD 70  2022 ,PKR 1.1 lacs,2022,"25,800 km",Lahore
Super Star CD 70  2020 ,"PKR 52,000",2020,"20,000 km",Karachi
Yamaha YBR 125G  2016 ,PKR 2.8 lacs,2016,"218,075 km",Lahore
Honda Pridor  2018 ,PKR 1.35 lacs,2018,"78,000 km",Okara
Yamaha YBR 125G  2016 ,PKR 2.8 lacs,2016,"21,873 km",Lahore
Honda Pridor  2024 ,PKR 1.95 lacs,2024,"4,000 km",Karachi
Honda CD 70  2020 ,"PKR 96,000",2020,"46,000 km",Faisalabad
Yamaha YD-100 Junoon  2015 ,"PKR 55,000",2015,"175,106 km",Kamoke
United US 70  2014 ,"PKR 53,000",2014,"20,000 km",Sargodha
United US 70  2022 ,"PKR 70,000",2022,"5,000 km",Abbottabad
Hi Speed CDI SR-70CC EURO-2  2023 ,"PKR 63,000",2023,"2,000 km",Karachi
Suzuki GSX 125  2023 ,PKR 3.5 lacs,2023,"9,200 km",Faisalabad
Honda CD 70  2023 ,PKR 1.32 lacs,2023,"12,000 km",Chakwal
Honda CG 125  2009 ,PKR 1.4 lacs,2009,"10,000 km",Mardan
Honda CG 125  2023 ,PKR 1.8 lacs,2023,"14,000 km",Multan
Suzuki GD 110S  2020 ,PKR 2.49 lacs,2020,"8,000 km",Lahore
Honda CG 125  2024 ,PKR 2.1 lacs,2024,"14,000 km",Faisalabad
Honda CG 125  2013 ,PKR 1 lacs,2013,"10,000 km",Multan
Honda CD 70  2019 ,"PKR 99,000",2019,"45,600 km",Faisalabad
Honda CG 125  2017 ,PKR 1.4 lacs,2017,"30,000 km",Dera ismail khan
Honda CG 125  2024 ,PKR 2.13 lacs,2024,"6,300 km",Khanewal
Honda CG 125  2023 ,PKR 1.75 lacs,2023,"16,000 km",Faisalabad
Sohrab JS 70  2008 ,"PKR 60,000",2008,"60,000 km",Lahore
Suzuki GD 110S  2022 ,PKR 2.6 lacs,2022,"24,000 km",Zahir Peer
Yamaha Other  2007 ,"PKR 30,000",2007,"10,000 km",Faisalabad
Honda CG 125  2025 ,PKR 2.25 lacs,2025,"2,000 km",Karachi
Honda CD 70  2018 ,"PKR 90,000",2018,"85,000 km",Jhang
Honda CD 70  2006 ,"PKR 52,500",2006,"100,000 km",Wah cantt
Ducati 696  2010 ,PKR 23.5 lacs,2010,"34,000 km",Islamabad
Honda CD 70  2021 ,PKR 1.2 lacs,2021,"10,000 km",Chakwal
Yamaha YBR 125  2024 ,PKR 3.82 lacs,2024,"11,000 km",Burewala
Chinese Bikes 70  2023 ,"PKR 79,000",2023,"20,000 km",Karachi
Crown RF 70  2014 ,"PKR 32,000",2014,"10,000 km",Taxila
Road Prince 70 Passion Plus  2013 ,"PKR 28,000",2013,"10,000 km",Sheikhupura
Road Prince 70 Passion Plus  2017 ,"PKR 34,000",2017,"35,263 km",Attock
Crown CRLF 70  2006 ,"PKR 25,000",2006,"6,000 km",Karachi
Union Star US 70cc  2018 ,PKR 2.5 lacs,2018,"10,000 km",Peshawar
Zongshen 400  2013 ,PKR 12.5 lacs,2013,"25,000 km",Islamabad
United US 70  2015 ,"PKR 55,000",2015,200 km,Peshawar
Super Star CD 70  2015 ,"PKR 37,000",2015,"5,000 km",Karachi
Honda CB 125F  2025 ,PKR 2.39 lacs,2025,250 km,Lahore
Honda Pridor  2018 ,PKR 1 lacs,2018,"10,000 km",Bahawalpur
Honda CB 150F  2024 ,PKR 4.34 lacs,2024,"2,460 km",Kharian
Honda CG 125  2010 ,"PKR 77,000",2010,"34,000 km",Lahore
Yamaha YB 125Z-DX  2024 ,PKR 3.8 lacs,2024,"7,200 km",Multan
Honda CG 125  2013 ,PKR 1.2 lacs,2013,"15,000 km",Rawalpindi
Honda Pridor  2022 ,PKR 1.75 lacs,2022,"11,234 km",Khanewal
Suzuki GS 150  2006 ,PKR 1.3 lacs,2006,"50,000 km",Karachi
Suzuki GS 150 SE  2019 ,PKR 2.54 lacs,2019,"50,000 km",Karachi
Honda CG 125  2014 ,"PKR 95,000",2014,"100,000 km",Lahore
Honda Pridor  2022 ,PKR 1.61 lacs,2022,"5,000 km",Pattoki
Suzuki GS 150  2025 ,PKR 3 lacs,2025,"3,000 km",Lahore
Yamaha YB 125Z   2019 ,PKR 2.35 lacs,2019,"65,000 km",Gujranwala
ZXMCO KPR 200 Cruise  2018 ,PKR 3.2 lacs,2018,"15,000 km",Islamabad
Yamaha YBR 125G  2018 ,PKR 2.75 lacs,2018,"35,000 km",Lahore
Honda CB 150F  2018 ,PKR 2.5 lacs,2018,"34,000 km",Bahawalpur
Honda CG 125  2022 ,PKR 1.45 lacs,2022,"15,000 km",Sialkot
Road Prince 70 Passion Plus  2021 ,"PKR 72,000",2021,"30,000 km",Lahore
Honda CG 125  2022 ,PKR 1.86 lacs,2022,"17,100 km",Mansehra
United US 125 Deluxe  2025 ,PKR 3 lacs,2025,"3,000 km",Lahore
Yamaha YB 125Z   2020 ,PKR 2.2 lacs,2020,"22,500 km",Gujrat
Yamaha Royale YB 100  2000 ,"PKR 55,000",2000,"10,000 km",Mirpur khas
Honda CG 125  2024 ,PKR 2.05 lacs,2024,"4,000 km",Gojra
United US 70  2025 ,PKR 1 lacs,2025,268 km,Abbottabad
Suzuki GS 150  2014 ,PKR 1.95 lacs,2014,"5,000 km",Faisalabad
Honda CD 70  2025 ,PKR 1.57 lacs,2025,200 km,Lahore
Honda CG 125  2022 ,PKR 1.75 lacs,2022,"20,000 km",Karachi
Yamaha YBR 125G  2022 ,PKR 3.4 lacs,2022,"22,000 km",Lahore
Pak Hero PH 70  2005 ,"PKR 32,000",2005,"60,000 km",Gujranwala
Honda Pridor  2020 ,PKR 1.65 lacs,2020,"25,000 km",Lahore
Honda CG 125  2024 ,PKR 1.88 lacs,2024,"9,600 km",Multan
Honda CG 125  2025 ,PKR 2.31 lacs,2025,944 km,Lahore
Hi Speed Infinity 150  2021 ,PKR 2.42 lacs,2021,"7,200 km",Faisalabad
United US 70  2024 ,"PKR 98,000",2024,"14,000 km",Wah cantt
Honda CD 70  2009 ,"PKR 50,000",2009,"50,000 km",Karachi
Suzuki GS 150 SE  2020 ,PKR 3.25 lacs,2020,"37,000 km",Sheikhupura
Suzuki GD 110  2013 ,PKR 1.2 lacs,2013,"100,000 km",Islamabad
Suzuki GSX 125  2024 ,PKR 4.5 lacs,2024,"9,500 km",Rawalpindi
Honda CG 125  2013 ,"PKR 90,000",2013,"10,000 km",Faisalabad
Yamaha 4 YD 100  1997 ,"PKR 75,000",1997,"25,000 km",Lahore
Yamaha YBR 125G  2023 ,PKR 3.95 lacs,2023,"7,900 km",Quetta
Honda Pridor  2025 ,PKR 2.08 lacs,2025,"3,900 km",Gujranwala
Honda CB 150F  2024 ,PKR 4.5 lacs,2024,"11,000 km",Rahim Yar Khan
Honda CG 125  2019 ,"PKR 93,000",2019,"50,000 km",Karachi
Honda CG 125  2023 ,PKR 1.89 lacs,2023,"14,000 km",Islamabad
Honda CG 125  2022 ,PKR 1.75 lacs,2022,"123,456 km",Rawalpindi
United US 100  2023 ,"PKR 90,000",2023,"11,143 km",Islamabad
Honda CG 125  2022 ,PKR 1.68 lacs,2022,"12,900 km",Multan
Honda CD 70  2017 ,"PKR 72,000",2017,"5,000 km",Faisalabad
Road Prince 70 Passion Plus  2018 ,"PKR 40,000",2018,"15,000 km",Hyderabad
Union Star 70 Deluxe  2021 ,"PKR 68,000",2021,"14,263 km",Karachi
Suzuki GS-125  2024 ,PKR 4.5 lacs,2024,"9,000 km",Rawalpindi
Honda CG 125  2021 ,PKR 1.65 lacs,2021,"50,000 km",Islamabad
Honda CG 125  2016 ,PKR 1.3 lacs,2016,"65,000 km",Islamabad
Suzuki GD 110  2022 ,PKR 2.8 lacs,2022,"5,000 km",Okara
Honda CG 125  2024 ,PKR 2.05 lacs,2024,"5,591 km",Lahore
Honda CG 125  2024 ,PKR 2 lacs,2024,"6,394 km",Multan
Super Power SP 125  2017 ,"PKR 60,000",2017,"600,000 km",Karachi
Unique UD 70  2017 ,"PKR 63,000",2017,"11,000 km",Haripur
Honda CG 125  2007 ,"PKR 90,000",2007,1 km,Lahore
Suzuki GS 150  2017 ,PKR 2.3 lacs,2017,"50,000 km",Karachi
Honda CG 125  2023 ,PKR 1.95 lacs,2023,"7,000 km",Islamabad
Honda CD 70  2010 ,"PKR 55,000",2010,"10,000 km",Gujranwala
Super Star CD 70  2012 ,"PKR 35,000",2012,"20,000 km",Karachi
Honda CG 125  2022 ,PKR 1.6 lacs,2022,"10,000 km",Multan
Yamaha YB 125Z   2020 ,PKR 2.29 lacs,2020,"54,000 km",Faisalabad
Unique Xtreme UD 70  2018 ,"PKR 47,000",2018,"4,000 km",Karachi
Ravi Humsafar 70  2017 ,"PKR 65,000",2017,"123,456 km",Abbottabad
Honda CG 125  2021 ,PKR 1.7 lacs,2021,1 km,Rawalpindi
Honda CG 125  2017 ,"PKR 85,000",2017,"7,000 km",Lahore
Kawasaki Ninja 250R  2017 ,PKR 3.8 lacs,2017,"15,000 km",Rawalpindi
Honda CG 125  2025 ,PKR 2.38 lacs,2025,1 km,Lahore
Road Prince Other  2019 ,"PKR 65,000",2019,"27,590 km",Islamabad
Honda CD 70  2020 ,"PKR 73,000",2020,"100,000 km",Karachi
Honda CB 150F  2024 ,PKR 4.8 lacs,2024,"6,700 km",Karachi
Honda CD 70  2018 ,"PKR 90,000",2018,"34,000 km",Liaqat Pur
Honda CG 125  2025 ,PKR 2.6 lacs,2025,"5,000 km",Lahore
Yamaha YB 125Z-DX  2023 ,PKR 3.25 lacs,2023,"28,000 km",Lahore
Honda CG 125  2025 ,PKR 2.75 lacs,2025,"4,500 km",Gujranwala
Honda CG 125  2024 ,PKR 2.2 lacs,2024,"10,000 km",Rawalpindi
Honda CG 125  2025 ,PKR 2.98 lacs,2025,"2,300 km",Karachi
Super Power SP 150 Archi  2020 ,PKR 2.2 lacs,2020,"30,000 km",Karachi
Union Star US 70cc  2024 ,"PKR 90,000",2024,"10,000 km",Karachi
Suzuki GS 150 SE  2018 ,PKR 2.8 lacs,2018,"52,000 km",Karachi
Honda CG 125  2023 ,PKR 1.9 lacs,2023,"9,000 km",Faisalabad
Unique Xtreme UD 70  2020 ,"PKR 52,000",2020,"10,000 km",Karachi
Unique Xtreme UD 70  2013 ,"PKR 60,000",2013,1 km,Rahim Yar Khan
Jolta Electric JE-70G  2022 ,PKR 1 lacs,2022,"15,636 km",Lahore
Honda CG 125  2007 ,"PKR 76,000",2007,"50,000 km",Dera ismail khan
Honda CG 125  2019 ,PKR 1.36 lacs,2019,"17,000 km",Lahore
Yamaha YBR 125G  2020 ,PKR 3.5 lacs,2020,"29,000 km",Karachi
Honda Pridor  2024 ,PKR 2.04 lacs,2024,"6,000 km",Gujrat
United US 70  2022 ,"PKR 43,000",2022,"15,000 km",Faisalabad
Honda CD 70  2020 ,"PKR 90,000",2020,"13,150 km",Karachi
Honda CG 125  2024 ,PKR 2.15 lacs,2024,"21,001 km",Lahore
Honda CD 70  2024 ,PKR 1.46 lacs,2024,"14,000 km",Multan
Honda CD 70  2023 ,PKR 1.3 lacs,2023,"34,000 km",Lahore
Honda CG 125  2024 ,PKR 1.92 lacs,2024,"30,000 km",Lahore
Yamaha YB 125Z   2022 ,PKR 2.5 lacs,2022,"27,000 km",Sargodha
Union Star 70 Deluxe  2025 ,PKR 1.1 lacs,2025,"2,000 km",Karachi
Honda CG 125  2023 ,PKR 2.15 lacs,2023,"17,100 km",Islamabad
Honda Pridor  2022 ,PKR 1.55 lacs,2022,"14,000 km",Faisalabad
Sohrab SD 70  2004 ,"PKR 27,000",2004,"50,000 km",Karachi
Honda CD 70  2015 ,"PKR 70,000",2015,"25,000 km",Faisalabad
Honda CG 125  2024 ,PKR 2.45 lacs,2024,"1,200 km",Rawalpindi
Hi Speed CDI SR-70CC EURO-2  2024 ,PKR 1.8 lacs,2024,"49,000 km",Lahore
Honda CG 125  2021 ,PKR 1.58 lacs,2021,"24,000 km",Lahore
Suzuki GR 150  2022 ,PKR 4.09 lacs,2022,"12,400 km",Chichawatni
Honda CG 125  2025 ,PKR 2.35 lacs,2025,"1,900 km",Sanghar
Honda CG 125  2024 ,PKR 2.1 lacs,2024,"28,600 km",Karachi
Honda CG 125  2013 ,PKR 1.4 lacs,2013,"12,000 km",Rawalpindi
Unique Xtreme UD 70  2023 ,"PKR 80,000",2023,"35,000 km",Karachi
Honda CG 125  2021 ,PKR 2.2 lacs,2021,"18,200 km",Toba Tek Singh
United US 70  2025 ,PKR 1.08 lacs,2025,"4,000 km",Islamabad
Pak Hero PH 70  2012 ,"PKR 50,000",2012,"10,000 km",Islamabad
Honda CD 70  2024 ,PKR 1.4 lacs,2024,"8,500 km",Lahore
Honda CD 70  2025 ,PKR 1.55 lacs,2025,"50,000 km",Islamabad
Metro E8S pro  2025 ,PKR 2.65 lacs,2025,"2,800 km",Faisalabad
Kawasaki GTO 110  1985 ,"PKR 65,000",1985,200 km,Lahore
Honda CB 150F  2024 ,PKR 4.8 lacs,2024,"6,700 km",Karachi
Honda CD 70  2013 ,"PKR 60,000",2013,"123,456 km",Lahore
Honda CG 125  2014 ,"PKR 77,000",2014,"35,000 km",Faisalabad
Honda CG 125  2023 ,PKR 2.05 lacs,2023,"11,000 km",Rawalpindi
Honda CG 125S GOLD  2023 ,PKR 2.45 lacs,2023,"1,284 km",Okara
Unique UD 125  2013 ,"PKR 75,000",2013,"100,000 km",Karachi
Honda CG 125  2022 ,PKR 1.75 lacs,2022,"10,000 km",Mandi bahauddin
Honda Pridor  2022 ,PKR 1.65 lacs,2022,"8,700 km",Sialkot
Hero RF 125  2002 ,PKR 1.8 lacs,2002,"70,000 km",Faisalabad
Honda CD 70  2024 ,PKR 1.34 lacs,2024,"11,000 km",Islamabad
Honda CG 125  2025 ,PKR 2.4 lacs,2025,5 km,Lahore
Honda CG 125  2013 ,PKR 1 lacs,2013,"85,000 km",Lahore
Honda CG 125  2023 ,PKR 1.75 lacs,2023,"14,000 km",Lahore
Unique UD 70  2023 ,"PKR 80,000",2023,"35,000 km",Karachi
Yamaha YBR 125  2017 ,PKR 2.2 lacs,2017,"19,200 km",Sargodha
